Source Row,Brand Name,Parent Company,Item Description,Type Product,Type Material,Layers,Total Count,Is Valid?,Derived Item Category
2,White Cap,Kenya Breweries Ltd,Beer can,FP,O,ML,2.0,Yes,Alcoholic beverages
3,Tusker Lager,Kenya Breweries Ltd,Beer can,FP,O,ML,1.0,Yes,Alcoholic beverages
4,Minute Maid,Coca Cola Limited,Plastic juice bottle,FP,PET,SL,8.0,Yes,Non-alcoholic beverages
5,Club Soda,Highlands,Plastic juice bottle,FP,PET,SL,56.0,Yes,Non-alcoholic beverages
6,Aquamist Water,Aquamist Water Company,Plastic water bottle,FP,PET,SL,41.0,Yes,Water bottles
7,Joemak Leather Dye,Unidentified / missing,Plastic Bottle,HP,HDPE,ML,9.0,No,Other bottles
8,Kangaroo Leather Dye,Kangaroo Brands Limited,Plastic Bottle,HP,HDPE,ML,8.0,Yes,Other bottles
9,Dasani,The Coca-Cola Company,Plastic Bottle,FP,PET,SL,21.0,Yes,Other bottles
10,Tuzo,Brookside Diary limited,Milk packet,FP,O,ML,3.0,Yes,Dairy packaging
11,Unkown,Unbranded,Ciggarette lighters,SM,O,ML,18.0,Yes,Other / unclassified
12,Sure,Innolatex Limited,Condoms,PC,O,SL,1.0,Yes,Other / unclassified
13,Super Glue,Alteco Group Company,Glue packet,PM,O,ML,3.0,Yes,Food packaging
14,Unknown,Unbranded,Cigarette butts,SM,O,ML,4.0,Yes,Other / unclassified
15,Pallman,British American Tobacco,Cigarette pack,SM,O,ML,2.0,Yes,Other / unclassified
16,Micro,Unidentified / missing,Marker pen,HP,PVC,ML,1.0,No,Other / unclassified
17,Kai Kai,Unidentified / missing,Marker pen,HP,PVC,ML,1.0,No,Other / unclassified
18,Tee Pee,Tee Pee Brush Maufactures,Writing pens,HP,PVC,ML,13.0,Yes,Other / unclassified
19,Doliprane,Unidentified / missing,Medicine packet,PC,PP,ML,1.0,No,Food packaging
20,Unknown,Unbranded,Syringes,PC,O,ML,7.0,Yes,Other / unclassified
21,Lude,Unidentified / missing,Shoe Polish container,HP,O,ML,5.0,No,Other / unclassified
22,Mio,Gitanes SRL,Ice- cream container,FP,LDPE,SL,1.0,Yes,Personal care
23,Stripax,Unidentified / missing,Medicine packet,PC,PP,ML,1.0,No,Food packaging
24,Unknown,Unbranded,Foam,FP,PS,SL,91.0,Yes,Other / unclassified
25,Unknown,Unbranded,Sun glasses,PC,PP,ML,1.0,Yes,Other / unclassified
26,Ebelin,DM,Medicine packet,PC,PP,ML,1.0,Yes,Food packaging
27,Thermopak Kenya,Thermopak Limited,Plastic cups,FP,PS,SL,8.0,Yes,Other / unclassified
28,Techpak Kenya,Techpak Industries Limited,Plastic cups,FP,PS,SL,5.0,Yes,Other / unclassified
29,Naivas,Unidentified / missing,Sugar packet,FP,LDPE,SL,2.0,No,Food packaging
30,Berti,Rimus Group,Milk packet,FP,O,ML,1.0,Yes,Dairy packaging
31,Umoja,Umoja Africa,Flip flops,HP,O,ML,6.0,Yes,Other / unclassified
32,Unknown,Unbranded,Flip flops,HP,O,ML,55.0,Yes,Other / unclassified
33,Formula,Orang Tua,Toothbrush,PC,PP,ML,1.0,Yes,Personal care
34,Ciptadent,Lion Wings Indonesia,Toothbrush,PC,PP,ML,1.0,Yes,Personal care
35,Unkown,Unbranded,Toothbrushes,PC,PP,ML,10.0,Yes,Personal care
36,Unknown,Unbranded,Straws,FP,PP,SL,27.0,Yes,Other / unclassified
37,Unknown,Unbranded,Synthetic hair,PC,O,SL,20.0,Yes,Other / unclassified
38,Casino,Royal Sanders BVBA,Shower gel container,PC,HDPE,ML,1.0,Yes,Other / unclassified
39,Unkown,Unbranded,Plastic hair combs,HP,PVC,ML,3.0,Yes,Other / unclassified
40,Unknown,Unbranded,Pipe,HP,PVC,ML,2.0,Yes,Other / unclassified
41,Unknown,Unbranded,Brush,HP,PP,ML,1.0,Yes,Other / unclassified
42,Milk Power,PI PADDEE FOOD LTD,Biscuit packaging,FP,PP,ML,2.0,Yes,Food packaging
43,Unknown,Unbranded,Plastic pegs,HP,PVC,ML,8.0,Yes,Other / unclassified
44,Unknown,Unbranded,Plastic bag,FP,PP,SL,1.0,Yes,Other / unclassified
